yyyy,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
1996,740.74,14.899,38.730,0.2073427297,0.0491,0.0720,0.0789,0.0673,0.0429734496,0.0240969624,0.0491000000,0.0332247557,0.1986658641,-0.0091845538,0.0140156703,0.0140775280,-0.0003967552,0.0393877616,0.2321794224,0.2053702454
1997,970.43,15.497,39.720,0.1788008842,0.0516,0.0676,0.0732,0.0602,0.0358444189,0.0155794639,0.0516000000,0.0170239596,0.1427001167,0.1586593709,0.1294942161,0.0331998764,-0.0008887790,0.0412889863,0.3360781261,0.3126753273
1998,"1,229.23",16.195,37.710,0.1736113154,0.0439,0.0622,0.0723,0.0542,0.0211830242,0.0200638134,0.0439000000,0.0161190329,0.1206586034,0.1307040369,0.1075556400,0.0412583015,-0.0010338728,0.0428009826,0.2930100822,0.2739196453
1999,"1,469.25",16.692,48.170,0.1471672594,0.0520,0.0755,0.0819,0.0682,0.0147608277,0.0178992583,0.0520000000,0.0268456376,0.1384560500,-0.0898988411,-0.0745425946,0.0326778072,0.0000642780,0.0429436951,0.2135264330,0.1979481708
2000,"1,320.28",16.271,50.000,0.1518515036,0.0577,0.0721,0.0802,0.0558,0.0190892560,-0.0022512182,0.0577000000,0.0338680927,0.1409895614,0.2149343724,0.1285453653,0.0492166761,-0.0005248530,0.0431683212,-0.0850694000,-0.0954574810
2001,"1,148.08",15.740,24.690,0.1312178459,0.0169,0.0677,0.0805,0.0575,0.0173656924,0.0134689821,0.0169000000,0.0155172414,0.0865431157,0.0370275224,0.1063665718,0.0456056835,-0.0013361672,0.0376032286,-0.1191014456,-0.1306928430
2002,879.82,16.074,27.590,0.2953858956,0.0119,0.0621,0.0745,0.0484,0.0071527061,0.0257381283,0.0119000000,0.0237691002,0.0820276580,0.1784139276,0.1664151752,0.0676922268,-0.0041443054,0.0341604849,-0.2177764990,-0.2305614561
2003,"1,111.92",17.385,48.740,0.2187398648,0.0090,0.0562,0.0660,0.0515,-0.0032133215,0.0069461440,0.0090000000,0.0187949143,0.0724230891,0.0089593956,0.0527255506,0.0292608405,NaN,0.0349601876,0.2869214954,0.2638960443
2004,"1,211.92",19.442,58.550,0.2706192427,0.0219,0.0547,0.0615,0.0484,-0.0118444412,0.0129554207,0.0219000000,0.0325556158,0.0782974619,0.0849731844,0.0872115434,0.0122914356,NaN,0.0356556734,0.1096903698,0.0873818277
2005,"1,248.29",22.216,69.830,0.3134779566,0.0389,0.0537,0.0632,0.0461,-0.0021247000,0.0030765027,0.0389000000,0.0341565949,0.0510712081,0.0780755925,0.0587227306,0.0105405286,NaN,0.0358567734,0.0520746246,0.0328733864
2006,"1,418.30",24.884,81.510,0.2816823997,0.0485,0.0532,0.0622,0.0491,-0.0015441570,-0.0150313385,0.0485000000,0.0254065041,0.0491233387,0.0117595391,0.0323553591,0.0100615163,NaN,0.0366169524,0.1568015249,0.1350875055
2007,"1,468.36",27.732,66.181,0.2505829731,0.0300,0.0549,0.0665,0.0450,-0.0014355390,-0.0415908596,0.0300000000,0.0408126858,0.0777264970,0.0989279628,0.0258900171,0.0253597550,NaN,0.0373978268,0.0571846444,0.0372618176
2008,903.25,28.387,14.880,0.3549842247,0.0003,0.0505,0.0843,0.0303,0.0073935169,-0.0247954180,0.0003000000,0.0009141290,0.2174037369,0.2586177059,0.0878964639,0.1684886550,NaN,0.0325660645,-0.3645795998,-0.3795912711
2009,"1,115.10",22.405,50.970,0.3255306601,0.0005,0.0526,0.0637,0.0458,-0.0217389939,0.0105341753,0.0005000000,0.0272133113,0.1971352378,-0.1489827269,0.0300122642,0.0743957188,NaN,0.0280398663,0.2648018134,0.2329098081
2010,"1,257.64",22.729,77.350,0.3581003169,0.0014,0.0502,0.0610,0.0414,-0.0284527600,0.0125734473,0.0014000000,0.0149572353,0.1297016669,0.1014366100,0.1243873938,0.0325324875,NaN,0.0298757017,0.1515208413,0.1269736392
2011,"1,257.60",26.425,86.950,0.3572325407,0.0001,0.0393,0.0525,0.0248,-0.0186321798,-0.0064940886,0.0001000000,0.0296241884,0.1281862432,0.2709624543,0.1793964059,0.0539547218,NaN,0.0318794904,0.0182318997,-0.0028456666
2012,"1,426.19",31.247,86.510,0.3490324432,0.0007,0.0365,0.0463,0.0241,-0.0302832079,-0.0122567408,0.0007000000,0.0174102237,0.1164981008,0.0343861794,0.1067484693,0.0161765956,NaN,0.0325584629,0.1609600366,0.1340921981
2013,"1,848.36",34.992,100.200,0.3044081256,0.0007,0.0462,0.0538,0.0367,-0.0251556042,0.0121845388,0.0007000000,0.0150173562,0.1286622783,-0.1278608842,-0.0707949250,0.0124830242,NaN,0.0330949103,0.3252630721,0.2972484631
2014,"2,058.90",39.443,102.310,0.3237556717,0.0003,0.0379,0.0474,0.0240,-0.0325716356,0.0056421911,0.0003000000,0.0075649327,0.1093213101,0.2474171485,0.1727406685,0.0129294509,NaN,0.0339099920,0.1352589684,0.1121006958
2015,"2,043.94",43.388,86.530,0.3136488144,0.0023,0.0397,0.0546,0.0243,-0.0413658932,-0.0216108076,0.0023000000,0.0072951979,0.1032531699,-0.0064065860,-0.0100959664,0.0239104659,NaN,0.0328593819,0.0149517841,-0.0067118464
2016,"2,238.83",45.701,94.550,0.2934790969,0.0051,0.0406,0.0483,0.0272,-0.0379687687,-0.0250116059,0.0051000000,0.0207462213,0.0895416713,0.0176107464,0.0670080523,0.0171191066,NaN,0.0321145320,0.1179322751,0.0933050350
2017,"2,673.61",48.932,109.880,0.235393343095716,0.0132,0.0351,0.0422,0.0254,-0.0316323960,-0.0199461243,0.0132000000,0.0210908247,0.0774603489,0.0623423356,0.1224353369,0.0045402236,NaN,0.0331373739,0.2198888125,0.1953092611
